地域	値	店舗数	人口
九州	25380	8	1608
関西	25338	15	1411
中部	25419	24	1587
中部	14071	28	1855
中部	15289	16	1834
関東	26428	27	1546
中部	29928	29	1145
九州	26120	6	712
九州	23376	14	1404
関西	19154	21	1086
関東	17060	8	918
関西	26021	7	1628
東北	14021	17	1824
東北	19953	18	695
東北	22873	21	1437
関東	22845	16	648
関東	22429	23	1898
中部	24229	27	1130
関西	17825	13	444
関東	12299	13	1485
中部	20709	24	1709
関東	15232	13	646
関東	13610	9	461
中部	16738	12	1615
関西	17111	16	1077
九州	20594	5	1010
九州	23028	20	1214
中部	30790	25	863
中部	30353	18	730
中部	12501	27	1004
中部	18281	7	816
九州	29084	26	473
九州	14755	24	971
関東	13596	12	1988
関東	30668	5	859
中部	17948	8	1930
東北	14862	25	577
中部	30875	22	1912
九州	20043	27	1716
関西	24505	28	1242
九州	18134	19	1825
中部	29564	9	1538
関東	26920	17	971
関西	14423	15	1733
関東	29574	17	1274
関西	30849	22	1670
関西	16374	20	433
九州	25077	16	1763
関東	17920	17	1457
東北	23379	13	797
東北	12913	17	1644
九州	29097	13	1370
関西	16839	20	1973
中部	19156	26	691
関東	31812	18	950
九州	14895	19	1725
東北	14115	24	412
東北	20996	12	1538
東北	14252	8	1705
関西	25407	6	777
関東	14624	27	1580
中部	26317	15	787
関東	27027	8	434
関西	18979	27	1830
関西	12670	28	1524
九州	31203	22	1188
関西	28241	8	592
中部	16687	14	1604
東北	30566	7	1230
関東	25187	8	1951
中部	25443	12	411
関東	14826	28	974
東北	25355	17	1111
九州	13828	21	1539
関東	18238	27	932
東北	29300	5	1356
東北	20084	17	1142
九州	20667	26	1304
関東	28619	5	1293
東北	13859	11	1423
関西	28643	12	1432
東北	24645	10	1919
九州	29669	20	1386
関西	21641	10	425
中部	13662	17	661
中部	29693	15	418
関西	13595	6	1951
東北	12773	5	1362
九州	22002	25	1170
東北	27099	23	479
東北	12229	21	1494
九州	31292	24	1359
関東	14409	23	480
関西	14414	7	1153
関西	31298	11	431
関西	13090	13	865
東北	26530	15	1465
関東	30748	12	456
九州	12596	17	1000
東北	25586	6	1980
九州	17602	26	1493
関東	21564	5	1162
関東	28387	23	1156
関東	17929	13	695
関西	18801	14	823
東北	13475	11	1168
九州	21536	8	1360
関東	29762	19	603
中部	20763	22	883
関東	29718	24	639
九州	12771	24	1878
九州	16521	8	827
中部	29240	5	585
中部	15117	13	1156
九州	27687	10	1031
関西	17441	26	1175
関東	26981	10	973
九州	27673	25	1726
東北	20943	12	874
関西	29358	17	1873
東北	28160	6	856
関西	15106	23	1129
東北	24493	9	1014
東北	12856	14	599
関西	12832	18	544
東北	21208	5	844
九州	14697	25	1021
関西	29184	10	747
東北	26651	29	815
九州	15309	21	896
中部	25533	5	658
中部	12500	6	1850
九州	19698	16	1425
関西	25723	16	1915
九州	20759	20	1342
九州	15784	7	1948
関東	15884	7	821
東北	21493	22	638
関東	18540	24	1916
関西	30312	21	1756
九州	28031	20	549
九州	13565	25	1251
東北	18884	20	1641
関東	20915	25	1104
東北	18037	5	859
関西	19542	22	1590
関西	26912	12	1314
関東	18823	17	939
九州	24115	10	752
関東	12367	28	1463
東北	30475	7	607
関東	16133	19	552
九州	29402	26	1577
東北	20129	27	711
中部	18553	26	1538
九州	25558	7	1586
関東	18679	11	1065
九州	20708	5	1900
東北	23159	19	562
関東	16129	16	662
関西	20033	11	1134
中部	19783	9	571
関東	27411	7	1477
関西	14919	20	1508
九州	15965	28	1497
関西	21056	17	1344
関東	27845	5	1916
九州	31381	28	697
九州	28891	13	722
中部	18483	8	1453
関西	14103	12	1783
中部	25714	22	949
関西	18900	7	1585
中部	31274	22	1492
関東	19613	18	1688
九州	23313	25	1995
中部	24995	22	1461
東北	20101	14	1011
東北	29773	23	1418
中部	12786	17	1052
中部	16354	11	1307
関西	28211	27	781
関西	26066	15	1937
中部	17174	12	516
関西	17580	25	745
中部	28585	15	1285
中部	31887	9	1403
中部	14340	7	1840
九州	26361	12	1530
中部	28120	25	1814
九州	26071	29	894
関東	26695	14	707
関東	17964	14	410
関東	28391	18	1659
中部	21207	19	1639
関東	30042	12	896
中部	15452	16	456
東北	23490	26	1323
東北	20525	26	1059
東北	13717	28	1152
関東	12752	14	1378
九州	30835	28	1427
東北	17892	28	696
九州	18045	20	1270
東北	14238	12	1682
中部	21985	18	1312
東北	23788	13	1850
関西	17837	21	1285
東北	26512	9	1710
東北	15995	21	458
東北	13810	10	1776
九州	19118	19	594
九州	13762	18	733
関東	16081	5	1469
九州	14464	27	563
関東	22027	14	925
九州	30305	9	1467
中部	23326	5	545
中部	14729	11	1782
東北	18820	22	852
東北	19536	21	1151
関東	19700	17	1725
関西	23365	8	626
東北	30091	8	1423
関西	21009	7	803
関西	15166	15	1121
東北	13276	24	1123
関東	26872	18	588
関東	27038	9	1444
関東	26143	10	1322
九州	23752	12	1449
九州	21202	27	676
東北	17281	14	1459
中部	23558	12	1873
関西	31026	8	1993
中部	12905	23	1041
中部	23715	24	401
関西	20125	24	1245
中部	20414	13	645
九州	12024	19	771
中部	21766	29	1176
九州	13939	24	917
中部	19982	20	1984
九州	15878	20	761
東北	26266	13	673
関西	27984	15	1776
関西	26731	14	1228
中部	31460	29	1293
関西	16014	22	1441
中部	15421	25	1125
東北	29550	28	1335
東北	16933	19	1407
関西	28428	9	1173
東北	27241	18	641
九州	14406	26	1045
東北	27427	28	1058
中部	23507	21	797
東北	21628	17	1004
関西	27627	24	1168
中部	27628	17	1479
関西	15840	29	1608
関西	26563	12	1260
関西	31250	14	807
中部	29829	9	566
関西	18026	6	673
東北	16379	24	1780
関西	29540	22	624
関西	30056	24	1741
関東	28890	6	1944
九州	28130	29	1048
九州	26359	22	486
東北	26449	12	1012
東北	24973	28	458
関東	14395	13	549
九州	15426	23	1059
関東	25383	15	1079
関西	15129	7	409
東北	25146	28	1714
関東	19035	15	644
関東	25896	25	1803
関西	20251	15	1493
関西	29042	19	1287
関西	20929	15	1929
九州	25830	27	1020
中部	16569	21	1971
関西	24216	7	560
東北	17927	10	1242
中部	17579	13	1246
九州	18289	26	1298
中部	26689	18	1321
関東	31950	17	1109
関西	13731	6	507
中部	23735	25	833
関東	21920	26	1607
東北	21729	10	1751
東北	15742	20	906
九州	29153	13	1445
関西	24937	29	1693
関西	20995	15	479
中部	15013	17	1875
中部	19466	19	1569
関西	25196	10	1191
東北	24809	25	676
九州	16586	24	1369
東北	30233	14	1125
関東	30863	25	1506
関東	19119	14	839
関西	25078	6	419
九州	31007	19	1111
関西	24765	18	1858
関東	16009	19	1082
関西	16554	9	1807
九州	18010	19	549
中部	23999	20	939
中部	20592	24	1236
九州	12045	11	722
中部	22251	13	502
東北	19894	29	1080
九州	23429	6	1603
関西	21667	7	658
関西	12138	14	1030
中部	21353	11	693
東北	17552	5	773
関東	27630	23	677
関西	20808	25	778
九州	20718	18	1692
関西	15877	24	1569
中部	28901	16	701
中部	26889	9	1834
九州	22140	15	882
関西	25717	10	1932
関西	30231	27	830
関西	16501	27	642
九州	28693	22	1683
中部	14054	5	962
中部	14868	5	830
九州	22821	27	1167
関西	29055	5	1401
九州	24347	26	1421
九州	28350	15	748
九州	17438	19	949
関東	16284	17	1042
中部	17457	21	747
東北	28293	26	1625
関東	26885	27	736
東北	12584	14	1795
九州	21337	5	1950
関東	15237	27	1770
関西	19861	9	707
関東	25411	25	905
関東	21366	9	1103
中部	21939	27	789
東北	29422	21	1765
九州	21323	13	981
東北	13392	22	1050
九州	23379	29	640
九州	16048	10	1630
関西	13729	19	1560
東北	17895	20	514
中部	18102	21	1862
関西	31925	13	1888
九州	27619	28	590
九州	18354	12	1226
関西	13948	15	1646
関東	25014	20	591
関西	20773	16	1824
九州	30914	25	1793
関東	17712	19	1013
九州	29662	22	1008
中部	23735	10	602
関東	29345	14	548
中部	14414	28	772
九州	19746	10	1872
関西	18282	13	584
中部	27552	21	1385
中部	27758	12	664
中部	21250	26	744
東北	19144	14	1429
関東	31390	14	1203
関西	13629	25	1668
九州	17839	12	1706
関東	17353	10	1215
中部	17459	16	1303
関東	31303	8	1248
中部	17109	25	1319
九州	31441	8	1764
関東	21189	28	1193
関西	24668	27	1795
関西	16003	26	1430
中部	18244	19	555
東北	27519	7	1739
関東	15351	22	839
関東	19183	6	1732
九州	18529	11	1640
九州	23682	21	794
中部	20436	20	1508
九州	19443	19	1014
中部	25968	13	1079
東北	13311	17	900
東北	21542	18	487
関東	21463	15	1947
九州	27136	9	682
東北	29442	5	539
九州	26200	28	1135
関東	20088	7	1179
東北	29410	8	1732
九州	26037	18	627
関東	18179	17	1070
九州	16876	21	1645
東北	13908	26	597
関西	14069	20	1152
関東	17700	10	737
関西	20476	24	688
東北	17241	28	1490
東北	28055	24	1415
東北	18071	6	1783
関東	16414	16	1278
関西	18324	23	1026
東北	16750	6	1250
東北	30290	8	470
関西	23809	5	1391
関東	14171	24	1707
関東	21257	20	1070
中部	19900	7	620
関東	14034	12	1828
九州	30680	9	1244
東北	28558	15	1327
関西	15690	17	733
九州	26333	15	508
関東	13644	18	1367
九州	26237	27	1305
関西	14247	25	464
九州	27459	5	1101
関西	12474	18	1601
東北	30477	27	1124
関西	25496	15	1585
関西	21987	23	590
関西	25066	19	752
九州	28766	6	1466
中部	30074	21	653
関西	25049	26	488
九州	20736	24	1110
中部	27128	22	838
関西	18682	15	958
関西	20060	24	1325
関西	16267	22	1739
中部	16735	20	1978
九州	27501	10	779
九州	27618	18	866
関西	13359	28	1428
関東	28355	11	532
中部	23783	29	1835
東北	15582	28	821
関東	19503	15	1361
関東	22045	29	1951
九州	16913	21	1011
関東	26056	26	1370
関西	13282	5	1083
東北	26521	25	912
関西	23551	17	443
関東	23646	13	1256
関東	28826	11	1921
東北	28169	6	577
東北	23486	28	1696
九州	27383	29	979
中部	24910	11	1660
九州	25302	18	549
中部	29812	29	1342
九州	31229	5	1687
中部	29733	26	890
東北	20901	23	1685
東北	26211	28	1252
関東	14602	17	683
関西	31890	21	1708
関西	24040	13	1688
中部	23687	29	1249
九州	15112	15	1033
東北	12047	19	1570
関東	22863	10	1491
関西	17258	9	1621
中部	20308	8	1428
九州	19300	8	1974
東北	24068	24	646
関西	19751	20	500
関東	13838	16	863
関西	31339	25	1529
関西	18057	18	1311
関西	18385	18	1242
関西	14830	15	1031
中部	19076	29	1971
中部	23398	11	1919
関東	22823	20	1948
関東	16154	6	1297
九州	17187	28	1102
関東	27052	27	1625
関東	27440	18	684
東北	24923	23	1941
東北	18121	13	1315
関西	27042	12	1145
東北	31615	28	1318
東北	23527	9	1928
九州	17673	16	1521
関西	24722	5	1736
東北	28169	16	735
中部	23312	20	961
東北	17485	12	661
九州	14630	18	1407
関西	19251	15	1099
中部	22324	29	1839
東北	19573	11	1730
中部	26920	8	663
関東	25081	17	1391
関東	27282	21	1031
関東	25585	27	1526
関西	25718	24	740
九州	27667	21	1766
関東	20766	12	859
東北	22245	10	802
関東	30915	24	707
東北	31958	9	1385
九州	24957	9	1266
中部	17766	27	1975
関東	16508	11	908
東北	30404	15	983
中部	31114	14	1491
中部	12267	29	1985
中部	31506	19	643
関西	12496	18	1080
東北	14213	26	783
関西	19213	10	880
関西	27365	10	792
関東	19080	28	1558
東北	18342	14	1721
関東	28375	5	616
関東	22883	23	993
東北	28875	21	1678
関東	16232	18	1406
中部	23344	25	969
関東	21771	7	503
関東	30642	8	1024
九州	31176	12	1791
関東	13661	16	866
東北	16810	11	595
関東	30492	8	819
中部	24999	21	1401
中部	21481	7	750
東北	27154	27	1220
中部	12369	23	421
関東	23605	6	600
東北	25614	13	594
九州	22875	19	1156
東北	24184	13	512
関東	30983	10	912
九州	14686	29	465
中部	15225	11	1170
東北	15523	27	468
関西	12485	15	1178
東北	13046	8	741
関西	21356	7	871
中部	15248	15	425
九州	20074	17	1313
東北	12281	20	1020
九州	22810	12	437
関西	14793	27	427
中部	29391	28	988
東北	20416	19	1252
九州	21263	23	450
関東	26385	13	1297
中部	16225	5	1624
九州	22714	11	1921
中部	16087	9	1265
関西	24230	20	1440
東北	14835	10	1049
中部	26194	21	1079
東北	29717	16	939
関東	24528	28	1370
関東	27267	28	1894
東北	18316	16	1076
関東	22601	28	1962
東北	18271	19	541
中部	24590	26	1873
関東	21360	21	893
関東	24527	23	436
関東	12307	9	1384
関東	20392	9	1043
関西	12987	6	1643
中部	12772	17	1558
関東	12130	29	1528
関東	14889	17	576
九州	18692	9	714
中部	30216	10	1048
関西	19741	11	492
九州	16771	17	1990
中部	25531	19	1658
九州	19708	11	1831
中部	23366	26	1966
関東	18347	14	1179
九州	12166	14	1965
九州	24042	19	1102
中部	22791	20	1993
関東	23604	15	430
九州	22613	22	413
関東	23332	5	1911
中部	22143	14	1139
関西	29697	27	853
東北	13686	10	956
九州	22578	27	600
九州	14033	9	1036
東北	23800	17	459
関西	16807	19	692
関西	29813	23	835
東北	30752	6	573
東北	24391	11	1013
関東	31569	5	1151
中部	18246	18	1321
中部	14909	21	1359
東北	14993	23	1984
中部	21175	9	802
東北	22655	5	965
九州	20741	20	1109
九州	24439	23	1941
中部	31133	22	1340
関東	16500	21	1311
九州	28855	8	511
東北	19583	22	1985
東北	25916	28	443
中部	12075	17	1410
中部	13891	13	1456
中部	25208	18	1867
九州	20328	19	1708
関東	14035	19	741
東北	31473	28	1506
中部	12365	29	1247
東北	29674	8	946
東北	19372	19	1561
東北	20732	10	1782
関東	17822	29	1464
関西	14417	11	1267
中部	14385	14	1973
東北	19686	29	780
関西	25697	14	1446
東北	21048	25	1511
関東	13626	21	1063
関東	14731	13	1747
中部	19179	21	549
中部	18028	11	1751
関西	14201	14	517
九州	26289	9	1561
関西	28209	18	1323
九州	25506	19	1958
東北	24580	23	1828
中部	21145	26	497
関西	26804	16	1421
九州	13893	14	952
九州	18448	27	1173
九州	23823	25	584
中部	16026	10	460
中部	25318	14	1827
関東	14102	29	1005
関西	29930	11	1199
関東	24134	9	989
関西	13180	28	485
中部	25779	29	1304
九州	12785	9	1102
九州	25280	27	1688
関西	16634	21	1377
関西	19469	10	542
東北	19564	28	1474
九州	22214	8	795
九州	19225	17	1625
関西	20167	5	1852
九州	31343	25	859
九州	12681	27	1995
関西	15554	28	1979
東北	16270	14	1219
九州	27590	12	1734
九州	18251	24	1500
関西	24743	20	1266
関西	13270	17	1770
中部	13623	5	1165
東北	29214	16	893
中部	12827	14	1047
関西	26334	25	783
関西	28366	29	1179
中部	21970	17	1583
中部	27829	27	550
関東	16666	8	1013
関東	13516	14	1142
東北	20379	23	1955
東北	12373	6	599
関西	28784	16	1953
九州	30367	8	1194
関西	25196	19	873
関西	12246	12	422
東北	27777	24	1105
中部	31873	29	697
関東	26191	22	535
九州	23534	6	1719
関東	28824	13	1129
中部	18326	22	1755
九州	31233	21	1881
中部	23159	9	956
東北	16921	26	1585
九州	13856	26	736
関西	25253	28	835
関西	22031	12	493
関西	24074	5	592
東北	22432	24	711
東北	20442	25	1575
中部	29756	27	1902
九州	29541	23	926
中部	31753	18	1188
九州	17774	7	1311
関東	18180	25	1099
関西	26216	6	992
東北	31502	16	438
九州	30996	6	828
中部	27119	11	777
関西	14810	17	1725
中部	29714	28	929
東北	30631	16	1694
九州	22887	23	758
関西	29744	11	1493
関東	20685	22	1770
九州	27540	5	1303
九州	25141	9	596
中部	19786	8	1739
九州	29495	22	1530
九州	17775	16	1010
東北	26575	14	1761
関西	18464	16	1438
東北	19365	23	836
東北	13579	14	1661
九州	21895	6	1919
東北	25997	22	1616
九州	31051	24	569
九州	20634	21	1609
九州	12038	17	916
関東	27812	7	1172
東北	24211	15	1800
東北	18237	17	1265
関東	14239	8	1717
中部	31602	26	980
東北	14804	20	1343
東北	28146	10	1015
中部	26612	19	1552
関西	29831	9	1361
中部	31006	12	1193
中部	20690	13	1145
東北	20009	24	1329
中部	24731	8	1561
中部	12940	18	435
関西	18900	27	775
関東	26694	22	692
関東	27907	23	1520
関西	13999	10	1241
九州	25567	28	1348
東北	18953	10	585
九州	14104	5	435
関西	15524	16	1362
関西	27266	18	1719
九州	31958	12	1968
九州	28279	6	1229
関東	30198	18	917
東北	18914	9	740
九州	19693	23	1754
関西	29468	22	774
関東	15261	29	1707
東北	30767	9	450
関東	15537	16	757
九州	26062	17	1829
関東	19140	13	1759
関西	20262	17	631
中部	27426	14	1923
中部	27311	13	1890
九州	13857	29	1517
関西	28921	17	1531
東北	25970	9	1790
関西	27653	13	1663
関東	17161	20	645
中部	15487	18	600
関西	22717	25	1992
関東	13980	24	1654
中部	15985	7	1595
九州	18905	14	561
中部	30263	15	689
関東	19685	12	1481
関西	16810	26	538
中部	18642	15	757
関東	23575	14	1657
中部	31673	25	629
中部	13205	28	1796
九州	24004	11	652
東北	13333	17	1062
九州	24114	16	671
東北	16301	21	416
中部	12331	26	1012
中部	14710	14	1819
東北	14388	22	1286
中部	22873	21	1782
関西	23712	27	635
関西	15727	22	1625
関東	15576	26	420
東北	22570	29	848
九州	15761	7	1548
関西	15021	17	1593
関西	31150	17	752
関西	15692	5	845
関西	19082	26	915
九州	21617	20	1484
東北	26787	15	800
東北	14189	22	616
関東	25579	9	841
九州	27575	26	896
中部	20441	13	723
九州	20468	8	1234
九州	19565	10	885
中部	12041	6	1128
関東	24079	17	760
中部	23770	16	1392
関西	23963	16	1155
関西	24453	29	785
関西	31482	23	1968
九州	23410	16	999
関西	23413	16	675
東北	13428	23	453
関西	17680	28	656
関西	29608	19	1465
東北	20798	26	1418
東北	19973	20	1688
東北	15674	15	1997
関西	31698	8	1485
九州	17877	23	1456
九州	29597	28	1726
関東	21217	5	1257
関西	24719	17	679
関西	17350	26	1424
関西	17050	28	1633
関西	20705	15	657
関東	25953	10	1348
東北	26585	14	1067
関西	30402	11	1575
関西	13348	7	459
中部	20176	15	807
東北	16484	9	855
中部	30431	18	1806
中部	22301	25	1714
中部	21029	24	1843
九州	17481	28	1090
東北	29864	15	1369
東北	15012	27	1728
九州	22939	20	1181
東北	23180	27	1103
中部	19180	14	1009
関東	12648	28	1217
中部	26070	16	1866
中部	18329	24	1023
関西	13134	6	456
東北	13936	23	872
関西	30955	25	1532
関西	18277	28	1006
東北	22451	22	1995
中部	15153	27	784
関西	27010	19	1778
関西	26519	13	1562
関東	20400	17	790
関西	23031	22	1393
中部	25477	8	718
東北	29109	5	1923
関東	24406	13	680
関西	25164	17	1625
東北	18521	24	1069
九州	20487	26	1572
東北	22794	21	1855
東北	14820	15	1120
関東	28291	18	1399
九州	17464	13	976
九州	16199	17	1207
関東	19289	26	899
九州	14280	14	1832
九州	24635	22	658
中部	17605	17	692
関西	14633	15	801
中部	16953	12	986
九州	23865	19	651
九州	13712	29	1960
九州	26981	8	915
東北	22233	18	1238
九州	19665	27	1175
中部	14634	24	1666
九州	25559	11	1046
関東	13366	10	1927
関西	24080	20	1541
東北	13859	20	437
九州	21354	18	529
関西	25504	29	830
九州	23634	13	1579
関西	16532	11	1482
中部	14876	22	1512
関東	16577	23	459
東北	13881	8	1838
中部	27437	7	1679
中部	14894	17	1218
中部	17246	15	1159
関東	24692	8	1532
中部	23209	16	1630
関西	19351	8	416
九州	26018	22	732
東北	13445	8	1532
関東	28759	28	1814
東北	24074	6	1412
関東	15060	16	1662
関東	12040	24	1091
九州	13822	27	524
関西	23855	11	1745
関東	25247	7	1319
九州	22445	23	1991
関東	14011	20	893
中部	29709	25	692
関東	31285	6	984
関西	20161	23	599
中部	27220	25	785
関西	17993	25	1974
関西	29302	14	1275
関東	31783	10	1058
関西	28227	5	1910
関西	12351	18	799
関西	29856	12	1645
関東	29986	10	522
関東	15667	15	1532
関東	17021	9	864
関東	28506	18	1525
関西	18419	25	1785
関東	18154	22	1410
中部	23066	10	709
関東	24351	8	1533
九州	20177	10	1058
関東	13801	24	635
関西	24687	21	707
関西	17554	18	693
中部	19955	15	1299
関西	23232	21	1588
中部	13647	20	1913
関東	16506	24	1003
中部	31249	17	1149
関東	13226	25	1447
東北	16823	27	473
関西	22289	25	773
関東	18111	22	1887
関東	14214	27	1918
東北	25959	16	1762
東北	23079	20	475
関西	17394	11	1096
関西	17230	27	1170
東北	20345	21	752
九州	21756	9	1573
関東	21642	8	1988
関西	12799	28	736
関東	27878	9	807
東北	24940	19	1226
東北	29347	25	1552
東北	26001	15	1374
関西	27276	24	900
九州	31726	6	1473
九州	17628	20	1869
関西	20394	10	1916
中部	23177	5	783
中部	19429	10	1563
関東	23457	9	420
東北	23006	29	1662
関西	21544	5	740
関西	22568	28	1683
関西	14488	13	1099
関西	27302	7	1412
関西	28983	11	1296
関西	31883	26	971
東北	26729	28	1570
関西	26079	16	1977
東北	20864	25	937
九州	18990	28	1846
関東	14505	15	1420
中部	20301	19	1012
東北	14398	29	665
東北	28371	25	543
関西	14108	16	1676
九州	24698	11	925
関東	14807	17	1840
東北	18007	19	780
東北	27530	18	568
東北	22641	22	1651
関東	18172	12	433
関東	14059	27	948
関東	30990	27	1996
中部	25302	21	593
中部	26358	22	1725
関西	16521	21	1257
中部	28678	5	1421
中部	14438	10	898
九州	26297	28	608
中部	21895	27	661
関東	21279	23	1436
関東	26837	28	1796
東北	21275	22	1830
中部	17054	20	1719
関東	20519	12	848
東北	21557	18	723
中部	24366	26	766
関東	14140	13	813
関西	14543	9	1530
関東	31545	23	1968
東北	12762	21	900
関東	25457	28	1874
九州	28369	20	707
九州	16666	5	888
関東	26621	12	1379
東北	20145	20	1285
関西	26458	24	640
関西	17188	6	1658
東北	23507	25	1726
東北	24536	22	1712
中部	30608	20	943
関東	26334	17	1718
九州	21269	17	1760
九州	12051	24	905
中部	26149	29	1593
関西	12806	15	606
東北	31359	27	1273
中部	13837	13	1592
中部	18934	27	1269
関西	17351	11	1464
東北	31494	6	1877
東北	13239	22	1795
関東	26168	19	1895
関東	23958	16	1085
中部	26089	25	1248
九州	21090	28	1634
関西	27516	10	432
九州	16745	22	962
九州	16648	29	952
関西	20212	21	605
関東	21023	20	450
関西	19145	9	460
九州	29087	27	1193
九州	29187	16	449
関東	15578	10	535
関西	18105	23	776
関東	14619	26	1797
関東	12569	6	1407
関西	24007	24	1029
関西	30634	6	1596
中部	25186	22	753
九州	26193	11	1374
関東	21623	25	773
中部	28505	27	1032
東北	17360	17	1387
九州	15089	10	949
中部	24011	19	750
関東	23352	27	742
中部	28360	25	1837
関東	16841	10	1298
東北	14698	28	1683
東北	22493	24	1099
関西	21410	21	1382
九州	18151	10	1438
関東	19209	15	698
中部	29680	8	553
中部	15190	15	1011
九州	25865	11	1044
関東	28851	8	1369
関東	27710	23	1717
九州	23131	5	652
関西	21591	29	1316
中部	15320	27	932
東北	16971	8	1678
九州	13357	28	1200
東北	17944	10	1893
関東	21894	26	1310
中部	13132	14	1578
東北	27642	8	1494
東北	24193	20	1164
中部	27850	22	1637
関東	15962	15	1420
関東	25248	23	510
九州	19114	10	529
九州	30971	8	1627
関東	26856	28	1062
関東	20170	20	1793
九州	17644	17	1736
九州	12678	27	1107
中部	23977	13	1920
関西	20203	13	513
東北	31729	27	1328
関東	22099	25	1171
中部	18025	18	1410
東北	13512	6	1123
九州	12255	14	1797
関東	15372	21	506
東北	13959	7	1702
関東	22494	20	1812
東北	22933	22	1304
関西	29744	25	876
関東	21988	21	805
九州	22718	21	1206
九州	14153	23	1706
東北	31789	28	1639
東北	14363	9	916
東北	25170	18	1217
中部	19825	21	1765
九州	16637	9	520
東北	14257	18	1947
関西	12087	25	1435
東北	20964	16	707
中部	18683	22	1287
九州	15924	16	1300
九州	15117	25	427
九州	23491	11	1879
関西	17770	20	618
関東	21021	19	1202
関東	22483	24	1762
東北	27016	14	1013
関東	15884	14	1030
関西	14246	18	1416
九州	17313	12	1214
関東	23253	18	1939
東北	26006	17	1918
関西	27648	29	911
中部	23193	20	1046
九州	19941	14	1643
中部	20429	25	1667
九州	12727	24	1680
関東	14578	9	1367
関西	27532	29	1742
東北	15766	5	1790
中部	19167	11	1604
中部	18611	5	1528
中部	24328	21	1355
中部	20574	21	852
関東	22088	11	684
中部	23483	6	1915
関東	31905	10	1963
東北	17171	8	1275
関東	25922	20	1791
中部	22393	18	1909
東北	20958	22	1755
関西	23226	28	1883
東北	19698	28	768
九州	13025	27	1907
関東	22415	16	404
中部	20209	22	843
東北	18808	28	1977
中部	17892	25	497
中部	20657	13	1532
九州	19259	10	557
関東	27330	29	784
東北	13054	7	804
東北	17029	9	439
九州	22800	28	798
中部	25780	17	987
関西	21773	27	1979
九州	12085	22	1431
東北	20633	7	847
関西	13150	26	1541
九州	19359	16	1118
関西	24252	7	1033
関西	13534	7	830
中部	19935	8	1918
関西	18268	28	1013
九州	24050	28	1312
東北	15350	13	1223
関東	19838	19	1404
東北	24670	28	508
関東	18427	22	1351
九州	24086	11	485
東北	12172	10	1251
九州	23944	11	690
東北	24915	11	628
東北	17594	27	709
九州	28761	17	1305
中部	31381	8	844
九州	28098	12	1784
中部	29579	27	512
中部	26823	9	1368
関西	22583	7	1308
関西	17794	26	970
関西	16388	16	802
関西	12814	14	1264
関西	25907	12	886
東北	16154	29	1216
関東	26769	10	1874
関西	22217	23	1657
関西	25332	6	902
関東	20964	26	1068
関西	13059	15	1994
関西	12372	24	639
関東	30555	18	1582
関西	31539	7	1952
関東	14840	25	1518
東北	13772	18	1830
